date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2022-04-11,10000.0,10000.0,10000.0,10000.0,990000000000,99000000,10616,10000.0,10000.0,1401-01-22
2022-05-16,10230.0,10450.0,10210.0,10290.0,121786404620,11832237,831,10000.0,10400.0,1401-02-26
2022-05-17,10550.0,10580.0,10400.0,10460.0,77952548200,7451007,1126,10290.0,10470.0,1401-02-27
2022-05-18,10500.0,10500.0,10170.0,10220.0,57314015300,5609804,1111,10460.0,10250.0,1401-02-28
2022-05-21,10200.0,10200.0,9900.0,10020.0,57562412350,5743400,725,10220.0,10060.0,1401-02-31
2022-05-22,9970.0,10120.0,9970.0,10070.0,17368530570,1724915,348,10020.0,10060.0,1401-03-01
2022-05-23,10010.0,10090.0,10000.0,10010.0,28971595740,2894607,397,10070.0,10000.0,1401-03-02
2022-05-24,9970.0,10030.0,9970.0,10000.0,69644492690,6964112,430,10010.0,10000.0,1401-03-03
2022-05-25,10010.0,10020.0,10000.0,10000.0,19033013290,1903071,354,10000.0,10010.0,1401-03-04
2022-05-28,9990.0,10010.0,9800.0,9870.0,46852124510,4746499,470,10000.0,9830.0,1401-03-07
2022-05-29,9810.0,9810.0,9650.0,9740.0,21790804970,2238037,301,9870.0,9770.0,1401-03-08
2022-05-30,9880.0,9960.0,9700.0,9750.0,9640409480,988760,256,9740.0,9700.0,1401-03-09
2022-05-31,9700.0,9780.0,9700.0,9740.0,11592798760,1190174,235,9750.0,9730.0,1401-03-10
2022-06-01,9830.0,9830.0,9690.0,9760.0,14220003700,1456267,216,9740.0,9730.0,1401-03-11
2022-06-06,9700.0,9730.0,9270.0,9420.0,25323786370,2688225,316,9760.0,9390.0,1401-03-16
2022-06-07,9360.0,9650.0,9350.0,9490.0,8079781440,851786,121,9420.0,9430.0,1401-03-17
2022-06-08,9070.0,9610.0,9070.0,9530.0,7080834650,743330,123,9490.0,9600.0,1401-03-18
2022-06-11,9220.0,9670.0,9220.0,9510.0,18541318280,1948835,143,9530.0,9510.0,1401-03-21
2022-06-12,9500.0,9760.0,9460.0,9540.0,19215215990,2014802,173,9510.0,9740.0,1401-03-22
2022-06-13,9770.0,9950.0,9750.0,9890.0,16178186400,1635448,191,9540.0,9880.0,1401-03-23
2022-06-14,9830.0,9850.0,9690.0,9800.0,12188488820,1243430,156,9890.0,9700.0,1401-03-24
2022-06-15,9730.0,9800.0,9700.0,9730.0,2745376470,282134,86,9800.0,9720.0,1401-03-25
2022-06-18,9750.0,9750.0,9590.0,9640.0,3103488360,321956,89,9730.0,9600.0,1401-03-28
2022-06-19,9620.0,9680.0,9520.0,9600.0,27804640790,2896122,104,9640.0,9530.0,1401-03-29
2022-06-20,9720.0,9720.0,9610.0,9630.0,2800613410,290902,67,9600.0,9610.0,1401-03-30
2022-06-21,9710.0,9710.0,9540.0,9580.0,5056741550,528050,79,9630.0,9540.0,1401-03-31
2022-06-22,9470.0,9490.0,9390.0,9470.0,18221745340,1924444,108,9580.0,9450.0,1401-04-01
2022-06-25,9450.0,9510.0,9270.0,9380.0,5269944070,561694,131,9470.0,9270.0,1401-04-04
2022-06-26,9320.0,9330.0,9150.0,9260.0,5650414690,610341,92,9380.0,9170.0,1401-04-05
2022-06-27,9280.0,9300.0,9190.0,9240.0,3171626090,343079,80,9260.0,9260.0,1401-04-06
2022-06-28,9310.0,9380.0,9270.0,9320.0,9761446190,1047905,85,9240.0,9340.0,1401-04-07
2022-06-29,9300.0,9340.0,9250.0,9290.0,3197988070,344141,80,9320.0,9300.0,1401-04-08
2022-07-02,9210.0,9280.0,9210.0,9210.0,5827319230,632688,82,9290.0,9210.0,1401-04-11
2022-07-03,9200.0,9310.0,9200.0,9270.0,4549703710,491003,81,9210.0,9280.0,1401-04-12
2022-07-04,9300.0,9390.0,9250.0,9320.0,16848443260,1808607,59,9270.0,9260.0,1401-04-13
2022-07-05,9290.0,9320.0,9140.0,9280.0,4317853510,465104,73,9320.0,9290.0,1401-04-14
2022-07-06,9290.0,9290.0,9210.0,9240.0,9499065410,1028218,45,9280.0,9240.0,1401-04-15
2022-07-09,9170.0,9250.0,9130.0,9180.0,2145106640,233739,79,9240.0,9140.0,1401-04-18
2022-07-11,9230.0,9230.0,8980.0,9060.0,8896885960,982063,115,9180.0,8990.0,1401-04-20
2022-07-12,8810.0,9080.0,8810.0,8940.0,4163405320,465469,102,9060.0,8980.0,1401-04-21
2022-07-13,8910.0,9050.0,8910.0,9010.0,4258685470,472771,94,8940.0,9020.0,1401-04-22
2022-07-16,9010.0,9030.0,8920.0,8990.0,3552797260,395283,91,9010.0,8920.0,1401-04-25
2022-07-17,9040.0,9050.0,8530.0,8910.0,33914181940,3807304,137,8990.0,8940.0,1401-04-26
2022-07-19,8950.0,9010.0,8950.0,8970.0,1716762790,191333,56,8910.0,8960.0,1401-04-28
2022-07-20,9060.0,9060.0,8960.0,9010.0,2916021190,323768,48,8970.0,9040.0,1401-04-29
2022-07-23,9030.0,9080.0,9020.0,9040.0,4657944750,514977,70,9010.0,9040.0,1401-05-01
2022-07-24,9000.0,9030.0,8890.0,8960.0,5168628100,576978,57,9040.0,8930.0,1401-05-02
2022-07-25,8900.0,9000.0,8700.0,8780.0,10674679850,1215567,80,8960.0,8750.0,1401-05-03
2022-07-26,8670.0,8940.0,8570.0,8810.0,18878094950,2143376,74,8780.0,8840.0,1401-05-04
2022-07-27,8650.0,8900.0,8650.0,8870.0,616966290,69544,50,8810.0,8870.0,1401-05-05
2022-07-30,8960.0,8960.0,8800.0,8850.0,1993870350,225179,34,8870.0,8800.0,1401-05-08
2022-07-31,8800.0,8800.0,8630.0,8710.0,2514126980,288506,57,8850.0,8700.0,1401-05-09
2022-08-01,8770.0,8810.0,8700.0,8750.0,1127875730,128932,46,8710.0,8750.0,1401-05-10
2022-08-02,8740.0,8800.0,8730.0,8750.0,3192962520,364764,40,8750.0,8740.0,1401-05-11
2022-08-03,8710.0,8840.0,8710.0,8810.0,972492210,110331,53,8750.0,8840.0,1401-05-12
2022-08-06,8860.0,9020.0,8860.0,8950.0,1724393500,192649,42,8810.0,9020.0,1401-05-15
2022-08-09,9000.0,9070.0,8970.0,9010.0,1192585850,132365,50,8950.0,8980.0,1401-05-18
2022-08-10,9030.0,9040.0,8970.0,9010.0,883527840,98104,43,9010.0,9020.0,1401-05-19
2022-08-13,9090.0,9240.0,9030.0,9190.0,26201573270,2851513,134,9010.0,9240.0,1401-05-22
2022-08-14,9400.0,9400.0,9090.0,9130.0,1503708090,164744,66,9190.0,9090.0,1401-05-23
2022-08-15,9070.0,9190.0,8800.0,8960.0,54002036700,6029418,200,9130.0,9160.0,1401-05-24
2022-08-16,9140.0,9240.0,9000.0,9150.0,172757167740,18878806,318,8960.0,9000.0,1401-05-25
2022-08-17,9030.0,9200.0,9030.0,9150.0,3084128410,336986,78,9150.0,9190.0,1401-05-26
2022-08-20,9090.0,9150.0,9020.0,9060.0,8321229220,918042,60,9150.0,9050.0,1401-05-29
2022-08-21,9020.0,9090.0,9000.0,9010.0,5552695240,616473,65,9060.0,9010.0,1401-05-30
2022-08-22,9000.0,9100.0,8990.0,9020.0,7446781030,825611,64,9010.0,9020.0,1401-05-31
2022-08-23,9000.0,9240.0,9000.0,9200.0,63401758810,6892838,142,9020.0,9240.0,1401-06-01
2022-08-24,9200.0,9340.0,9200.0,9330.0,36566761500,3918069,110,9200.0,9340.0,1401-06-02
2022-08-27,9280.0,9370.0,9250.0,9310.0,4182569720,449031,58,9330.0,9250.0,1401-06-05
2022-08-28,9150.0,9230.0,9150.0,9170.0,2512568090,273946,56,9310.0,9170.0,1401-06-06
2022-08-29,9190.0,9400.0,9170.0,9340.0,6446783810,690262,108,9170.0,9300.0,1401-06-07
2022-08-30,9220.0,9260.0,9200.0,9210.0,1426297340,154834,50,9340.0,9200.0,1401-06-08
2022-08-31,9200.0,9220.0,9150.0,9190.0,595089700,64732,30,9210.0,9220.0,1401-06-09
2022-09-03,9270.0,9270.0,9070.0,9140.0,1322629330,144644,39,9190.0,9070.0,1401-06-12
2022-09-04,9070.0,9090.0,9060.0,9080.0,2955277710,325358,39,9140.0,9070.0,1401-06-13
2022-09-05,9090.0,9140.0,9090.0,9110.0,12165943690,1335919,19,9080.0,9110.0,1401-06-14
2022-09-06,9050.0,9090.0,9050.0,9070.0,1106953000,122032,37,9110.0,9080.0,1401-06-15
2022-09-07,9050.0,9100.0,9050.0,9060.0,868079590,95804,25,9070.0,9060.0,1401-06-16
