date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-06-26,10000.0,10000.0,10000.0,10000.0,425463270000,42546327,1516,10000.0,10000.0,1400-04-05
2021-06-27,10000.0,10000.0,10000.0,10000.0,25198800000,2519880,1030,10000.0,10000.0,1400-04-06
2021-06-28,10000.0,10000.0,10000.0,10000.0,40453830000,4045383,1055,10000.0,10000.0,1400-04-07
2021-06-29,10000.0,10000.0,10000.0,10000.0,22123440000,2212344,789,10000.0,10000.0,1400-04-08
2021-06-30,10000.0,10000.0,10000.0,10000.0,218041650000,21804165,1348,10000.0,10000.0,1400-04-09
2021-08-08,10232.0,10232.0,10232.0,10232.0,2383145352,232911,50,10000.0,10232.0,1400-05-17
2021-08-09,10250.0,10250.0,10237.0,10239.0,33608325899,3282236,603,10232.0,10240.0,1400-05-18
2021-08-10,10242.0,10245.0,10241.0,10241.0,30829755390,3010394,394,10239.0,10245.0,1400-05-19
2021-08-11,10246.0,10250.0,10245.0,10246.0,18552248703,1810697,290,10241.0,10247.0,1400-05-20
2021-08-14,10260.0,10266.0,9522.0,10258.0,26565949773,2589807,309,10246.0,10265.0,1400-05-23
2021-08-15,10263.0,10265.0,10258.0,10261.0,14528651997,1415894,243,10258.0,10261.0,1400-05-24
2021-08-22,10279.0,10300.0,10277.0,10280.0,16160268084,1572018,217,10261.0,10300.0,1400-05-31
2021-08-23,10300.0,10380.0,10000.0,10283.0,5599012442,544510,201,10280.0,10340.0,1400-06-01
2021-08-24,10324.0,10324.0,10242.0,10308.0,15061381808,1461083,179,10283.0,10290.0,1400-06-02
2021-08-25,10320.0,10320.0,10260.0,10308.0,18504724625,1795201,237,10308.0,10313.0,1400-06-03
2021-08-28,10340.0,10340.0,10200.0,10314.0,12249500982,1187621,238,10308.0,10320.0,1400-06-06
2021-08-29,10320.0,10350.0,10310.0,10319.0,8457155624,819608,150,10314.0,10319.0,1400-06-07
2021-08-30,10319.0,10319.0,10308.0,10310.0,2616355221,253762,155,10319.0,10312.0,1400-06-08
2021-08-31,10312.0,10315.0,10204.0,10313.0,11473829396,1112609,126,10310.0,10313.0,1400-06-09
2021-09-01,10317.0,10320.0,10310.0,10317.0,7822156618,758175,96,10313.0,10317.0,1400-06-10
2021-09-04,10398.0,10398.0,10271.0,10321.0,15434700899,1495441,127,10317.0,10321.0,1400-06-13
2021-09-05,10329.0,10329.0,10300.0,10324.0,21423766622,2075054,127,10321.0,10325.0,1400-06-14
2021-09-06,10329.0,10399.0,10250.0,10326.0,17282331457,1673601,274,10324.0,10399.0,1400-06-15
2021-09-07,10390.0,10390.0,10340.0,10362.0,3561727383,343728,181,10326.0,10360.0,1400-06-16
2021-09-08,10362.0,10380.0,10360.0,10364.0,1739393347,167830,150,10362.0,10364.0,1400-06-17
2021-09-11,10368.0,10370.0,10368.0,10368.0,285725354726,27558384,594,10364.0,10368.0,1400-06-20
2021-09-12,10375.0,10380.0,10375.0,10378.0,1008198833,97152,38,10368.0,10378.0,1400-06-21
2021-09-13,10394.0,10394.0,10388.0,10388.0,2152750743,207233,57,10378.0,10388.0,1400-06-22
2021-09-14,10395.0,10400.0,10394.0,10395.0,1765225588,169818,81,10388.0,10394.0,1400-06-23
2021-09-15,10402.0,10410.0,10401.0,10402.0,1559979335,149962,93,10395.0,10410.0,1400-06-24
2021-09-18,10410.0,10420.0,10410.0,10417.0,1775310386,170428,53,10402.0,10420.0,1400-06-27
2021-09-19,10428.0,10430.0,10424.0,10425.0,661352995,63439,31,10417.0,10425.0,1400-06-28
2021-09-20,10430.0,10435.0,10430.0,10431.0,1920902610,184152,60,10425.0,10431.0,1400-06-29
2021-09-21,10440.0,10440.0,10437.0,10439.0,2128706748,203918,65,10431.0,10440.0,1400-06-30
2021-09-22,10445.0,10449.0,10445.0,10447.0,5447407333,521443,68,10439.0,10447.0,1400-06-31
2021-09-25,10470.0,10475.0,10466.0,10473.0,5480519281,523321,110,10447.0,10475.0,1400-07-03
2021-09-26,10483.0,10520.0,10483.0,10495.0,18433438754,1756458,156,10473.0,10500.0,1400-07-04
2021-09-28,10530.0,10575.0,10530.0,10566.0,25141440812,2379371,270,10495.0,10540.0,1400-07-06
2021-09-29,10565.0,10600.0,10546.0,10596.0,11795248619,1113218,164,10566.0,10600.0,1400-07-07
2021-10-02,10614.0,10614.0,10605.0,10612.0,22274951558,2099073,252,10596.0,10610.0,1400-07-10
2021-10-03,10620.0,10620.0,10615.0,10620.0,52638943056,4956723,419,10612.0,10620.0,1400-07-11
2021-10-04,10626.0,10626.0,10619.0,10622.0,14501394007,1365186,261,10620.0,10620.0,1400-07-12
2021-10-06,10629.0,10640.0,10629.0,10639.0,30585079048,2874746,277,10622.0,10640.0,1400-07-14
2021-10-09,10647.0,10656.0,10646.0,10655.0,25245296022,2369374,266,10639.0,10656.0,1400-07-17
2021-10-10,10662.0,10663.0,10654.0,10662.0,45294969426,4248079,390,10655.0,10662.0,1400-07-18
2021-10-11,10662.0,10669.0,10659.0,10668.0,40775396542,3822165,304,10662.0,10669.0,1400-07-19
2021-10-12,10675.0,10675.0,10670.0,10674.0,39370654274,3688336,308,10668.0,10675.0,1400-07-20
2021-10-13,10684.0,10685.0,10681.0,10684.0,197208461504,18458100,650,10674.0,10685.0,1400-07-21
2021-10-16,10689.0,10699.0,10689.0,10696.0,65281219339,6103571,376,10684.0,10698.0,1400-07-24
2021-10-17,10706.0,10805.0,10700.0,10705.0,107618955435,10052682,546,10696.0,10705.0,1400-07-25
2021-10-18,10712.0,10712.0,10705.0,10710.0,42183327038,3938532,358,10705.0,10710.0,1400-07-26
2021-10-19,10717.0,10718.0,10708.0,10714.0,38107001953,3556739,361,10710.0,10715.0,1400-07-27
2021-10-20,10728.0,10729.0,10715.0,10725.0,24415575939,2276454,283,10714.0,10724.0,1400-07-28
2021-10-23,10745.0,10745.0,10733.0,10741.0,60654694128,5646809,393,10725.0,10741.0,1400-08-01
2021-10-25,10750.0,10755.0,10750.0,10754.0,42667597377,3967594,401,10741.0,10755.0,1400-08-03
2021-10-26,10751.0,10761.0,10751.0,10760.0,56206933915,5223614,360,10754.0,10761.0,1400-08-04
2021-10-27,10767.0,10767.0,10758.0,10764.0,22842908311,2122222,316,10760.0,10762.0,1400-08-05
2021-10-30,10777.0,10785.0,10775.0,10778.0,24655387921,2287599,394,10764.0,10779.0,1400-08-08
2021-10-31,10783.0,10791.0,10782.0,10788.0,44046452674,4082764,380,10778.0,10788.0,1400-08-09
2021-11-01,10789.0,10798.0,10788.0,10796.0,39116925958,3623259,277,10788.0,10798.0,1400-08-10
2021-11-02,10805.0,10805.0,10797.0,10802.0,31751071824,2939299,276,10796.0,10802.0,1400-08-11
2021-11-03,10803.0,10811.0,10801.0,10803.0,74080925330,6857620,434,10802.0,10804.0,1400-08-12
2021-11-06,10820.0,10824.0,10819.0,10819.0,53090953550,4907010,362,10803.0,10819.0,1400-08-15
2021-11-07,10825.0,10835.0,10825.0,10827.0,23389033940,2160311,239,10819.0,10828.0,1400-08-16
2021-11-08,10833.0,10840.0,10833.0,10837.0,28902204138,2666964,243,10827.0,10836.0,1400-08-17
2021-11-09,10847.0,10847.0,10838.0,10841.0,38499158196,3551401,266,10837.0,10842.0,1400-08-18
2021-11-10,10846.0,10855.0,10844.0,10849.0,31638994814,2916347,250,10841.0,10853.0,1400-08-19
2021-11-13,10863.0,10870.0,10863.0,10864.0,46196379953,4252293,340,10849.0,10865.0,1400-08-22
2021-11-14,10871.0,10879.0,10869.0,10873.0,40142677482,3691943,241,10864.0,10874.0,1400-08-23
2021-11-15,10885.0,10885.0,10876.0,10879.0,21417608666,1968740,241,10873.0,10879.0,1400-08-24
2021-11-16,10886.0,10888.0,10883.0,10886.0,11511690222,1057477,197,10879.0,10884.0,1400-08-25
2021-11-17,10889.0,10894.0,10888.0,10889.0,40871707371,3753472,250,10886.0,10888.0,1400-08-26
2021-11-20,10908.0,10914.0,10907.0,10908.0,27541102829,2524877,261,10889.0,10908.0,1400-08-29
