date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-10-17,10000.0,10000.0,10000.0,10000.0,345000000000,34500000,6285,10000.0,10000.0,1400-07-25
2021-10-18,10000.0,10000.0,10000.0,10000.0,78350000000,7835000,2845,10000.0,10000.0,1400-07-26
2021-10-19,10000.0,10000.0,10000.0,10000.0,44500000000,4450000,1335,10000.0,10000.0,1400-07-27
2021-10-20,10000.0,10000.0,10000.0,10000.0,54150000000,5415000,1475,10000.0,10000.0,1400-07-28
2021-10-23,10000.0,10000.0,10000.0,10000.0,237008450000,23700845,1356,10000.0,10000.0,1400-08-01
2021-11-10,10200.0,10240.0,10130.0,10165.0,27785197478,2733324,807,10000.0,10168.0,1400-08-19
2021-11-13,10140.0,10240.0,10040.0,10107.0,61163698371,6051476,2041,10165.0,10055.0,1400-08-22
2021-11-14,10064.0,10099.0,10036.0,10055.0,43928562587,4368825,1077,10107.0,10039.0,1400-08-23
2021-11-15,10050.0,10050.0,10000.0,10009.0,34391586850,3435918,927,10055.0,10000.0,1400-08-24
2021-11-16,10038.0,10038.0,10000.0,10001.0,21707068153,2170480,592,10009.0,10001.0,1400-08-25
2021-11-17,10001.0,10010.0,10000.0,10001.0,25756810370,2575370,501,10001.0,10004.0,1400-08-26
2021-11-20,10013.0,10013.0,9722.0,9811.0,21429047335,2184191,673,10001.0,9724.0,1400-08-29
2021-11-21,9767.0,9970.0,9725.0,9835.0,22318591966,2269196,553,9811.0,9939.0,1400-08-30
2021-11-22,9946.0,10030.0,9760.0,9969.0,18185240032,1824225,662,9835.0,10030.0,1400-09-01
2021-11-23,10048.0,10048.0,9830.0,9890.0,8896106717,899491,568,9969.0,9900.0,1400-09-02
2021-11-24,9920.0,9993.0,9841.0,9885.0,8671841393,877238,511,9890.0,9879.0,1400-09-03
2021-11-27,10000.0,10000.0,9730.0,9802.0,23135766640,2360285,809,9885.0,9773.0,1400-09-06
2021-11-28,9822.0,9852.0,9700.0,9744.0,9340420805,958600,383,9802.0,9716.0,1400-09-07
2021-11-29,9790.0,9793.0,9701.0,9725.0,5721572399,588308,361,9744.0,9735.0,1400-09-08
2021-11-30,9700.0,9740.0,9600.0,9660.0,15483273451,1602772,645,9725.0,9611.0,1400-09-09
2021-12-01,9680.0,9680.0,9501.0,9538.0,12550855905,1315820,830,9660.0,9550.0,1400-09-10
2021-12-04,9565.0,9694.0,9402.0,9468.0,5596615426,591137,293,9538.0,9558.0,1400-09-13
2021-12-05,9491.0,9556.0,9403.0,9479.0,16963952494,1789729,417,9468.0,9443.0,1400-09-14
2021-12-06,9540.0,9540.0,9351.0,9461.0,7870173666,831888,305,9479.0,9400.0,1400-09-15
2021-12-07,9450.0,9489.0,9271.0,9323.0,11813855424,1267199,609,9461.0,9370.0,1400-09-16
2021-12-08,9367.0,9830.0,9281.0,9548.0,22097349959,2314308,454,9323.0,9672.0,1400-09-17
2021-12-11,9560.0,9589.0,9351.0,9542.0,5012031652,525275,180,9548.0,9510.0,1400-09-20
2021-12-12,9451.0,9500.0,9300.0,9374.0,5006387846,534066,178,9542.0,9301.0,1400-09-21
2021-12-13,9302.0,9384.0,9010.0,9142.0,6629166119,725120,331,9374.0,9154.0,1400-09-22
2021-12-14,9180.0,9294.0,9036.0,9164.0,4326169541,472059,247,9142.0,9289.0,1400-09-23
2021-12-15,9130.0,9295.0,9051.0,9128.0,1870070294,204868,172,9164.0,9134.0,1400-09-24
2021-12-18,9101.0,9294.0,9101.0,9223.0,6079966476,659238,233,9128.0,9256.0,1400-09-27
2021-12-19,9280.0,9302.0,9041.0,9168.0,10536438919,1149205,413,9223.0,9148.0,1400-09-28
2021-12-20,9293.0,9298.0,9188.0,9224.0,4748462840,514770,188,9168.0,9241.0,1400-09-29
2021-12-21,9280.0,9540.0,9210.0,9390.0,6039598599,643183,277,9224.0,9429.0,1400-09-30
2021-12-22,9600.0,10044.0,9481.0,9913.0,20888766721,2107282,560,9390.0,9990.0,1400-10-01
2021-12-25,10000.0,10082.0,9919.0,9997.0,14276896056,1428068,489,9913.0,9927.0,1400-10-04
2021-12-26,9927.0,9927.0,9552.0,9792.0,16525107417,1687584,313,9997.0,9842.0,1400-10-05
2021-12-27,9980.0,10099.0,9900.0,10017.0,13241029223,1321807,308,9792.0,9975.0,1400-10-06
2021-12-28,10094.0,10094.0,9825.0,9893.0,7848687802,793363,277,10017.0,9930.0,1400-10-07
2021-12-29,9989.0,9989.0,9720.0,9811.0,4387827054,447227,191,9893.0,9777.0,1400-10-08
2022-01-01,9839.0,9839.0,9630.0,9705.0,7932353786,817345,156,9811.0,9744.0,1400-10-11
2022-01-02,9751.0,9900.0,9750.0,9842.0,5870981186,596503,206,9705.0,9839.0,1400-10-12
2022-01-03,9900.0,9900.0,9710.0,9773.0,6490748991,664165,154,9842.0,9750.0,1400-10-13
2022-01-04,9780.0,9800.0,9500.0,9620.0,3723652430,386962,177,9773.0,9550.0,1400-10-14
2022-01-05,9580.0,9630.0,9500.0,9560.0,4996134020,522518,166,9620.0,9540.0,1400-10-15
2022-01-08,9610.0,9750.0,9510.0,9560.0,4742570520,495935,154,9560.0,9510.0,1400-10-18
2022-01-09,9560.0,9560.0,9260.0,9370.0,1685427910,179878,141,9560.0,9380.0,1400-10-19
2022-01-10,9370.0,9450.0,9240.0,9380.0,5338333050,569199,157,9370.0,9390.0,1400-10-20
2022-01-11,9480.0,9480.0,9270.0,9350.0,5314562960,568421,145,9380.0,9300.0,1400-10-21
2022-01-12,9300.0,9400.0,9250.0,9320.0,3593773880,385409,91,9350.0,9320.0,1400-10-22
2022-01-15,9320.0,9320.0,9210.0,9270.0,2759684480,297800,117,9320.0,9250.0,1400-10-25
2022-01-16,9270.0,9340.0,9200.0,9250.0,3296981550,356534,133,9270.0,9340.0,1400-10-26
2022-01-17,9340.0,9360.0,9170.0,9270.0,2781315560,300090,148,9250.0,9180.0,1400-10-27
2022-01-18,9270.0,9270.0,9070.0,9120.0,3289785160,360804,160,9270.0,9150.0,1400-10-28
2022-01-19,9180.0,9240.0,9130.0,9170.0,6185023300,674190,143,9120.0,9230.0,1400-10-29
2022-01-22,9270.0,9330.0,9010.0,9160.0,10891241510,1189418,187,9170.0,9080.0,1400-11-02
2022-01-23,9160.0,9160.0,9010.0,9090.0,4353840790,478966,134,9160.0,9060.0,1400-11-03
2022-01-24,9090.0,9090.0,8950.0,9050.0,1252222950,138346,38,9090.0,8960.0,1400-11-04
2022-01-25,8970.0,9050.0,8210.0,8850.0,22152972860,2501933,344,9050.0,8940.0,1400-11-05
2022-01-26,8910.0,9140.0,8720.0,9010.0,7695284920,853628,197,8850.0,9110.0,1400-11-06
2022-01-29,9290.0,9390.0,9160.0,9310.0,16439594460,1766267,319,9010.0,9380.0,1400-11-09
2022-01-30,9400.0,9460.0,9300.0,9370.0,15532333820,1658306,178,9310.0,9380.0,1400-11-10
2022-01-31,9450.0,9600.0,9380.0,9510.0,11068030770,1164013,223,9370.0,9600.0,1400-11-11
2022-02-01,9570.0,9590.0,9520.0,9540.0,4283783090,449192,125,9510.0,9520.0,1400-11-12
2022-02-02,9580.0,9630.0,9540.0,9580.0,7083051700,739314,192,9540.0,9600.0,1400-11-13
2022-02-05,9610.0,9680.0,9580.0,9590.0,6785146260,707351,143,9580.0,9580.0,1400-11-16
2022-02-06,9580.0,9600.0,9320.0,9470.0,5827923980,615601,110,9590.0,9390.0,1400-11-17
2022-02-07,9410.0,9430.0,9370.0,9400.0,1967625020,209229,58,9470.0,9420.0,1400-11-18
2022-02-08,9420.0,9500.0,9400.0,9450.0,3151272520,333458,106,9400.0,9490.0,1400-11-19
2022-02-09,9490.0,9490.0,9350.0,9400.0,4102895350,436389,198,9450.0,9380.0,1400-11-20
2022-02-12,9450.0,9450.0,9400.0,9400.0,1732087170,184213,51,9400.0,9400.0,1400-11-23
2022-02-13,9400.0,9420.0,9370.0,9390.0,2813507430,299567,51,9400.0,9370.0,1400-11-24
2022-02-14,9390.0,9790.0,9390.0,9500.0,1258788040,132472,79,9390.0,9460.0,1400-11-25
2022-02-16,9410.0,9510.0,9410.0,9460.0,2224295460,235028,97,9500.0,9450.0,1400-11-27
2022-02-19,9460.0,9560.0,9460.0,9510.0,1378006400,144908,74,9460.0,9510.0,1400-11-30
2022-02-20,9500.0,9550.0,9480.0,9520.0,2043926700,214678,81,9510.0,9550.0,1400-12-01
2022-02-21,9480.0,9690.0,9480.0,9640.0,3555352360,368968,79,9520.0,9630.0,1400-12-02
2022-02-22,9650.0,9800.0,9650.0,9700.0,4665167980,480965,119,9640.0,9700.0,1400-12-03
2022-02-23,9720.0,9780.0,9670.0,9730.0,2259297190,232308,79,9700.0,9740.0,1400-12-04
2022-02-26,9730.0,9740.0,9710.0,9720.0,2013444310,207064,73,9730.0,9720.0,1400-12-07
2022-02-27,9720.0,9780.0,9720.0,9740.0,1529886250,157056,67,9720.0,9730.0,1400-12-08
2022-02-28,9740.0,9830.0,9740.0,9770.0,1308747000,133920,64,9740.0,9760.0,1400-12-09
2022-03-02,9760.0,9880.0,9760.0,9820.0,9250644660,942006,115,9770.0,9860.0,1400-12-11
2022-03-05,9890.0,9940.0,9840.0,9900.0,1827802850,184664,103,9820.0,9940.0,1400-12-14
2022-03-06,9950.0,10200.0,9910.0,10040.0,24422250080,2433608,347,9900.0,10080.0,1400-12-15
2022-03-07,10150.0,10150.0,10040.0,10100.0,6230980810,617171,256,10040.0,10070.0,1400-12-16
2022-03-08,10180.0,10190.0,10070.0,10110.0,12872174690,1273054,210,10100.0,10110.0,1400-12-17
2022-03-09,10130.0,10160.0,10110.0,10130.0,4477876900,441846,155,10110.0,10160.0,1400-12-18
2022-03-12,10130.0,10150.0,10060.0,10110.0,12376354720,1224744,151,10130.0,10080.0,1400-12-21
2022-03-13,10150.0,10150.0,10090.0,10090.0,2154074140,213416,83,10110.0,10110.0,1400-12-22
2022-03-14,10110.0,10110.0,10000.0,10010.0,2460892100,245846,83,10090.0,10000.0,1400-12-23
2022-03-15,10010.0,10170.0,10010.0,10120.0,3833038090,378866,105,10010.0,10100.0,1400-12-24
2022-03-16,10250.0,10590.0,10250.0,10390.0,29147693860,2804061,155,10120.0,10400.0,1400-12-25
2022-03-19,10420.0,10690.0,10420.0,10570.0,15313743430,1449458,154,10390.0,10550.0,1400-12-28
2022-03-26,10680.0,10790.0,10680.0,10750.0,19707919460,1833296,150,10570.0,10750.0,1401-01-06
2022-03-27,10760.0,10850.0,10740.0,10760.0,13699816270,1272974,158,10750.0,10760.0,1401-01-07
2022-03-28,10750.0,10860.0,10750.0,10850.0,38802030030,3576912,183,10760.0,10860.0,1401-01-08
2022-03-29,10990.0,10990.0,10790.0,10810.0,25873633350,2393477,160,10850.0,10800.0,1401-01-09
2022-03-30,10810.0,10880.0,10810.0,10850.0,10114096860,932306,149,10810.0,10860.0,1401-01-10
2022-04-03,10900.0,11070.0,10900.0,11000.0,22897240040,2080871,163,10850.0,11050.0,1401-01-14
2022-04-04,11070.0,11070.0,10970.0,11010.0,11235710080,1020746,191,11000.0,10990.0,1401-01-15
2022-04-05,11030.0,11140.0,10990.0,11070.0,15978273270,1442889,216,11010.0,11100.0,1401-01-16
2022-04-06,11090.0,11260.0,11050.0,11220.0,41797547570,3725693,252,11070.0,11140.0,1401-01-17
2022-04-09,11080.0,11290.0,11080.0,11250.0,65973493800,5865163,192,11220.0,11250.0,1401-01-20
2022-04-10,11400.0,11400.0,11250.0,11260.0,50836157890,4514157,276,11250.0,11280.0,1401-01-21
2022-04-11,11290.0,11340.0,11210.0,11300.0,10097204530,893740,192,11260.0,11290.0,1401-01-22
2022-04-12,11310.0,11310.0,11000.0,11060.0,11556279300,1044464,220,11300.0,11010.0,1401-01-23
2022-04-13,11080.0,11190.0,11080.0,11140.0,35074486600,3149529,209,11060.0,11140.0,1401-01-24
2022-04-16,11160.0,11230.0,11140.0,11200.0,9137752670,815659,168,11140.0,11210.0,1401-01-27
2022-04-17,11270.0,11350.0,11200.0,11290.0,15467126080,1370522,216,11200.0,11320.0,1401-01-28
2022-04-18,11350.0,11570.0,11350.0,11470.0,38757352010,3378574,400,11290.0,11360.0,1401-01-29
2022-04-19,11390.0,11520.0,11390.0,11460.0,43012638390,3751835,232,11470.0,11480.0,1401-01-30
2022-04-20,11490.0,11570.0,11460.0,11500.0,11363118940,987690,208,11460.0,11510.0,1401-01-31
2022-04-24,11520.0,11570.0,11480.0,11510.0,6663329270,579066,156,11500.0,11480.0,1401-02-04
2022-04-25,11480.0,11550.0,11450.0,11470.0,7364229640,641998,169,11510.0,11490.0,1401-02-05
2022-04-26,11480.0,11550.0,11480.0,11540.0,13161550920,1140745,180,11470.0,11540.0,1401-02-06
2022-04-27,11540.0,11590.0,11540.0,11550.0,8819874560,763549,195,11540.0,11570.0,1401-02-07
2022-04-30,11560.0,11700.0,11550.0,11620.0,18224976920,1567818,212,11550.0,11650.0,1401-02-10
2022-05-01,11660.0,11700.0,11600.0,11660.0,27182390710,2331991,254,11620.0,11640.0,1401-02-11
2022-05-02,11620.0,11650.0,11600.0,11610.0,35599230890,3065738,261,11660.0,11630.0,1401-02-12
2022-05-07,11640.0,11700.0,11630.0,11660.0,14477697250,1241387,179,11610.0,11700.0,1401-02-17
2022-05-08,11690.0,11800.0,11690.0,11730.0,30253823720,2579425,200,11660.0,11800.0,1401-02-18
2022-05-09,11830.0,11830.0,11720.0,11730.0,10179086170,867932,145,11730.0,11720.0,1401-02-19
2022-05-10,11800.0,11850.0,11720.0,11800.0,17851881650,1512573,194,11730.0,11840.0,1401-02-20
2022-05-11,11860.0,11920.0,11830.0,11830.0,228200289190,19282233,730,11800.0,11910.0,1401-02-21
2022-05-14,11970.0,12500.0,11950.0,12050.0,27063074780,2246499,286,11830.0,12150.0,1401-02-24
2022-05-15,12080.0,12220.0,12050.0,12140.0,39149644690,3224789,414,12050.0,12210.0,1401-02-25
2022-05-16,12200.0,12490.0,12200.0,12280.0,50123157600,4081844,517,12140.0,12310.0,1401-02-26
2022-05-17,12350.0,12430.0,12280.0,12360.0,54543240550,4411812,464,12280.0,12310.0,1401-02-27
2022-05-18,12330.0,12380.0,12300.0,12330.0,55317978940,4486129,370,12360.0,12370.0,1401-02-28
2022-05-21,12330.0,12470.0,12300.0,12410.0,22225293070,1791090,230,12330.0,12430.0,1401-02-31
2022-05-22,12470.0,12560.0,12450.0,12500.0,45477670570,3637878,380,12410.0,12510.0,1401-03-01
2022-05-23,12530.0,12980.0,12300.0,12410.0,76442908820,6159606,557,12500.0,12400.0,1401-03-02
2022-05-24,12350.0,12500.0,12350.0,12400.0,35894104530,2895258,300,12410.0,12400.0,1401-03-03
2022-05-25,12490.0,12490.0,12380.0,12410.0,42180122090,3398470,356,12400.0,12430.0,1401-03-04
2022-05-28,12430.0,12450.0,12320.0,12380.0,30584654520,2470218,281,12410.0,12340.0,1401-03-07
2022-05-29,12310.0,12310.0,12180.0,12240.0,60492833070,4940905,375,12380.0,12280.0,1401-03-08
2022-05-30,12250.0,12350.0,12230.0,12270.0,8011695000,653200,205,12240.0,12230.0,1401-03-09
2022-05-31,12220.0,12370.0,12220.0,12300.0,23361090150,1899477,198,12270.0,12300.0,1401-03-10
2022-06-01,12360.0,12360.0,12240.0,12290.0,21768728290,1771072,175,12300.0,12320.0,1401-03-11
2022-06-06,12290.0,12340.0,12050.0,12150.0,23113133130,1902749,244,12290.0,12100.0,1401-03-16
2022-06-07,12100.0,12150.0,12050.0,12090.0,29723196800,2458436,191,12150.0,12110.0,1401-03-17
2022-06-08,12100.0,12190.0,12100.0,12150.0,14956232090,1230493,115,12090.0,12150.0,1401-03-18
2022-06-11,12150.0,12200.0,12100.0,12120.0,7801591140,643533,143,12150.0,12100.0,1401-03-21
2022-06-12,12120.0,12280.0,12010.0,12230.0,34091223770,2787129,192,12120.0,12280.0,1401-03-22
2022-06-13,12360.0,12500.0,12290.0,12430.0,33847962940,2722863,294,12230.0,12430.0,1401-03-23
2022-06-14,12400.0,12420.0,12350.0,12400.0,18300231190,1475824,193,12430.0,12350.0,1401-03-24
2022-06-15,12400.0,12400.0,12210.0,12350.0,106504552440,8622274,261,12400.0,12280.0,1401-03-25
2022-06-18,12220.0,12230.0,12140.0,12200.0,31340506320,2569711,180,12350.0,12200.0,1401-03-28
2022-06-19,12200.0,12700.0,12200.0,12280.0,17715312220,1442784,115,12200.0,12220.0,1401-03-29
2022-06-20,12240.0,12350.0,12240.0,12300.0,11303408080,919117,128,12280.0,12280.0,1401-03-30
2022-06-21,12300.0,12310.0,12170.0,12230.0,8583759240,701734,105,12300.0,12260.0,1401-03-31
2022-06-22,12210.0,12250.0,12150.0,12180.0,9893136350,811953,115,12230.0,12200.0,1401-04-01
2022-06-25,12100.0,12210.0,12060.0,12150.0,10595092850,872286,106,12180.0,12140.0,1401-04-04
2022-06-26,12190.0,12190.0,12000.0,12070.0,55872474930,4627228,187,12150.0,12020.0,1401-04-05
2022-06-27,11980.0,12090.0,11980.0,12050.0,23354568600,1937673,136,12070.0,12070.0,1401-04-06
2022-06-28,12070.0,12150.0,12060.0,12100.0,7969666120,658892,95,12050.0,12060.0,1401-04-07
2022-06-29,12070.0,12090.0,12030.0,12060.0,13732605370,1138372,97,12100.0,12080.0,1401-04-08
2022-07-02,12100.0,12100.0,11980.0,12040.0,4811853910,399785,66,12060.0,12000.0,1401-04-11
2022-07-03,12000.0,12050.0,11990.0,12030.0,5458377970,453566,66,12040.0,12050.0,1401-04-12
2022-07-04,12040.0,12110.0,12030.0,12060.0,9904610370,821307,81,12030.0,12060.0,1401-04-13
2022-07-05,12070.0,12070.0,12050.0,12060.0,4735914750,392621,56,12060.0,12070.0,1401-04-14
2022-07-06,12100.0,12100.0,12000.0,12000.0,8375131760,697712,58,12060.0,12000.0,1401-04-15
2022-07-09,12000.0,12030.0,11960.0,11990.0,4498181790,375177,58,12000.0,11960.0,1401-04-18
2022-07-11,11990.0,12040.0,11880.0,11990.0,11332141020,944897,90,11990.0,11880.0,1401-04-20
2022-07-12,11990.0,12000.0,11880.0,11960.0,14612881570,1222229,117,11990.0,11980.0,1401-04-21
2022-07-13,11950.0,12070.0,11950.0,12020.0,5499033980,457441,84,11960.0,12050.0,1401-04-22
2022-07-16,12010.0,12070.0,11900.0,11960.0,5355529300,447720,59,12020.0,11920.0,1401-04-25
2022-07-17,11940.0,11940.0,11900.0,11920.0,2138579280,179386,56,11960.0,11910.0,1401-04-26
2022-07-19,11950.0,11990.0,11950.0,11960.0,3823543920,319701,63,11920.0,11960.0,1401-04-28
2022-07-20,12050.0,12050.0,11960.0,12000.0,13035421410,1086335,80,11960.0,12010.0,1401-04-29
2022-07-23,12000.0,12100.0,12000.0,12030.0,17429954240,1448367,240,12000.0,12050.0,1401-05-01
2022-07-24,12110.0,12120.0,12000.0,12090.0,56111892800,4641960,177,12030.0,12030.0,1401-05-02
2022-07-25,12000.0,12000.0,11820.0,11850.0,13053651730,1101900,98,12090.0,11830.0,1401-05-03
2022-07-26,11810.0,11950.0,11810.0,11880.0,9234697020,777535,68,11850.0,11860.0,1401-05-04
2022-07-27,12000.0,12050.0,11910.0,11950.0,6627136030,554455,215,11880.0,11950.0,1401-05-05
2022-07-30,12050.0,12050.0,11890.0,12010.0,16821221070,1400825,143,11950.0,11890.0,1401-05-08
2022-07-31,11930.0,11940.0,11820.0,11880.0,12433048890,1046644,237,12010.0,11860.0,1401-05-09
2022-08-01,11880.0,11940.0,11880.0,11930.0,6449418980,540727,55,11880.0,11940.0,1401-05-10
2022-08-02,11940.0,11980.0,11910.0,11940.0,6460831450,541025,56,11930.0,11960.0,1401-05-11
2022-08-03,12000.0,12080.0,11950.0,12020.0,15324964550,1275157,144,11940.0,12040.0,1401-05-12
2022-08-06,12100.0,12220.0,12100.0,12180.0,39916416690,3278354,203,12020.0,12200.0,1401-05-15
2022-08-09,12240.0,12240.0,12130.0,12180.0,73988659290,6074208,266,12180.0,12130.0,1401-05-18
2022-08-10,12180.0,12180.0,12150.0,12160.0,20887166510,1717513,113,12180.0,12150.0,1401-05-19
2022-08-13,12200.0,12370.0,12200.0,12300.0,66480051280,5405569,345,12160.0,12350.0,1401-05-22
2022-08-14,12450.0,12450.0,12300.0,12330.0,151657569280,12303298,341,12300.0,12340.0,1401-05-23
2022-08-15,12320.0,12380.0,12310.0,12340.0,49425093520,4003670,210,12330.0,12340.0,1401-05-24
2022-08-16,12370.0,12460.0,12330.0,12370.0,24956822280,2017744,124,12340.0,12330.0,1401-05-25
2022-08-17,12370.0,12390.0,12300.0,12330.0,26437843540,2143374,121,12370.0,12300.0,1401-05-26
2022-08-20,12320.0,12350.0,12220.0,12310.0,15498146750,1259260,103,12330.0,12300.0,1401-05-29
2022-08-21,12340.0,12350.0,12260.0,12310.0,10512339570,854186,83,12310.0,12320.0,1401-05-30
2022-08-22,12290.0,12360.0,12260.0,12300.0,10157208070,825655,113,12310.0,12270.0,1401-05-31
