,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,118,4,60,4,3886498,4048654,1785636,6149516,13550179876,14229901206,6270434248,21509646834,3486.475453222927,3511.597127298061,3514.723956653248,3497.778822593518,2100862.0
1,2022-09-07,108,5,73,6,4635838,10290261,2890858,12035241,16383468066,36717243543,10298518992,42802192617,3534.0898594817163,3562.443742307647,3568.1547380576644,3556.4051120372246,1744980.0
2,2022-09-06,154,2,62,4,2484064,1634991,2307247,1811808,8945672680,5884219886,8308992606,6520899960,3601.2247188478236,3601.2583854264412,3598.931055889604,3599.112025115244,176817.0
3,2022-09-05,317,2,85,5,12519139,3617014,10758625,5377528,45600399375,13174429406,39221540123,19553288658,3642.4549144314155,3645.5904098339706,3642.349575091498,3636.1109896591893,1760514.0
4,2022-09-04,25,2,35,2,639035,1819715,2435463,23287,2287625344,6609916227,8814279791,83261780,3579.81228571205,3619.1392729021136,3632.3909112141187,3575.461845664963,-1796428.0
5,2022-09-03,27,1,42,0,469163,1195018,1664181,0,1676492549,4301902686,5978395235,0,3573.3690614988823,3592.394838662381,3599.8643417923413,,-1195018.0
6,2022-08-31,56,2,27,3,829579,742929,1193646,378862,3025074139,2764174131,4399585676,1389662594,3646.517256343278,3685.8379083916,3720.643737153887,3667.991495584144,-364067.0
7,2022-08-30,52,3,33,4,1671697,2846626,2540120,1978203,6150237112,10733540578,9409536877,7474240813,3679.0381941224996,3704.3670680912714,3770.61847183297,3778.2981893162632,-868423.0
8,2022-08-29,18,3,27,2,409548,1861544,1728592,542500,1523596256,7006657259,6485603515,2044650000,3720.1897115844786,3751.9573820774363,3763.8955936577377,3768.9400921658985,-1319044.0
9,2022-08-28,25,2,33,3,368528,445167,766227,47468,1373419401,1673925659,2868870250,178474810,3726.7708315243344,3744.151863612219,3760.2195558071467,3759.8974045672876,-397699.0
10,2022-08-27,27,2,51,5,751287,1751447,874234,1628500,2864350433,6753421467,3343155020,6274616880,3812.5915036464094,3824.096317461915,3855.9096946696077,3853.003917715689,-122947.0
11,2022-08-24,30,2,54,4,513086,3107441,2257721,1362806,1926316011,11893102320,8622323893,5197094438,3754.372582763903,3819.0387089458795,3827.2978698549705,3813.524770216744,-1744635.0
12,2022-08-23,25,2,45,3,343155,1935323,891542,1386936,1285219600,7331466880,3360053029,5256633451,3745.3034343081117,3768.8106998885078,3788.239420499834,3790.105275946403,-548387.0
13,2022-08-22,31,3,48,4,335303,2631423,2238657,728069,1242872757,9888531805,8355622848,2775781714,3706.7152903493256,3732.4265611033757,3757.864776966683,3812.5256177642505,-1903354.0
14,2022-08-21,19,2,38,1,301379,886748,1186727,1400,1110143288,3293400299,4398405587,5138000,3683.5455954130844,3706.3331221081175,3714.020554881432,3670.0,-885348.0
15,2022-08-20,30,2,69,7,908586,2417602,2310931,1015257,3382640145,9206741577,8715301304,3874080418,3722.9718980922003,3771.3377439655274,3808.212260330691,3815.8618142992364,-1402345.0
16,2022-08-17,29,2,66,4,713115,2183861,2251109,645867,2654157703,8230017073,8441701863,2442472913,3721.9210127398806,3750.0191518935776,3768.5626846214113,3781.696406535711,-1537994.0
17,2022-08-16,30,2,58,6,459430,3442602,2629262,1272770,1729605000,13129833296,9989863562,4869574734,3764.6757939185513,3799.493379511057,3813.927167880574,3825.965990713169,-2169832.0
18,2022-08-15,32,3,57,4,718866,2142591,1708798,1152659,2697907493,8062103761,6413798637,4346212617,3753.0047227160558,3753.3977901425446,3762.782426043981,3770.597043010986,-989932.0
19,2022-08-14,37,2,63,2,715294,2106297,1971324,850267,2641836055,7841413490,7302214433,3181035112,3693.3569343514696,3704.218298463368,3722.843212519412,3741.21906648147,-1256030.0
20,2022-08-13,52,4,50,4,2301317,1297660,2516415,1082562,8655773146,4931777474,9471593438,4115957182,3761.2259180286765,3763.923453802334,3800.515908635544,3802.0521522092963,-215098.0
21,2022-08-10,47,4,53,3,1153416,2683860,2770828,1066448,4213253011,10000923526,10259483808,3954692729,3652.8477244983596,3702.6779749591096,3726.3208684506644,3708.284631787016,-1617412.0
22,2022-08-09,38,5,49,4,1112159,2902010,1825857,2188312,3977451192,10495921384,6582454655,7890917921,3576.3332329280256,3605.131538231088,3616.776435642882,3605.9382396111705,-713698.0
23,2022-08-06,25,3,68,4,326904,5700773,3835535,2192142,1151611675,20398200267,13690498502,7859313440,3522.7824529525487,3569.3843236993016,3578.1463789208938,3585.2209574014823,-3508631.0
24,2022-08-03,27,1,42,3,387861,362149,670778,79232,1345392176,1279171237,2345124237,279439176,3468.748278378079,3496.12574801201,3532.1683533573196,3526.8474353796446,-282917.0
25,2022-08-02,31,3,55,3,977365,2646244,1490437,2133172,3346000208,9342120494,5225254057,7462866645,3423.4909250893984,3505.8536905618957,3530.3322346692144,3498.4833126442686,-513072.0
26,2022-08-01,28,3,44,1,287889,1803017,1565633,525273,992822716,6265368091,5427814134,1830376673,3448.630256800364,3466.849596297472,3474.935672264876,3484.6197558222107,-1277744.0
27,2022-07-31,31,2,65,2,1174086,2702471,3008885,867672,4065142123,9340823269,10395496281,3010469111,3462.3887202470687,3454.9330669001974,3456.400926781453,3469.5934765671823,-1834799.0
28,2022-07-30,53,2,60,4,846199,544457,1033081,357575,2922553081,1870636035,3567392296,1225796820,3453.742064218937,3453.158364155376,3435.7828717419375,3428.083115430329,-186882.0
29,2022-07-27,62,2,75,3,1307537,610743,941499,976781,4418216472,2057348535,3200902305,3274662702,3379.037436034315,3399.7936322821374,3368.599451815248,3352.5045040802393,366038.0
30,2022-07-26,33,1,62,2,1051055,1097936,1249881,899110,3442426485,3576382949,4090516265,2928293169,3275.210607437289,3272.724575379576,3257.3692355474273,3256.8797688825616,-198826.0
31,2022-07-25,43,1,51,2,1025711,1090964,1585617,531058,3274540315,3514392825,5100529019,1688404121,3192.4590016096154,3216.7471835884708,3221.3646142310836,3179.321507255328,-559906.0
32,2022-07-24,21,2,60,2,735891,21217660,19926151,2027400,2359678196,69169311036,64927511142,6601478090,3206.559389909647,3258.407062257031,3259.987719475192,3256.13006313505,-19190260.0
33,2022-07-19,43,2,84,2,567407,3276551,3300192,543766,2100333721,12229301477,12324917213,2004717985,3701.6351948425026,3734.606111705016,3732.3702506080326,3686.729190497383,-2732785.0
34,2022-07-17,39,3,59,3,469632,14616692,1321318,13765006,1738725874,54662656337,4894569864,51506812347,3702.3155875238485,3704.308776539788,3739.7419564563584,3741.866320072799,-851686.0
35,2022-07-16,16,2,68,5,175913,11772039,2273889,9674063,655913369,44042600487,8521899118,36176614738,3728.6236321363403,3747.7199274019094,3741.289039817146,3739.5471518016784,-2097976.0
36,2022-07-13,43,2,91,2,748089,3484045,3729006,503128,2787055053,13042486988,13951365627,1878176414,3725.5661465413873,3741.3095143853348,3743.4898194483712,3732.999185098027,-2980917.0
37,2022-07-12,59,1,91,4,1195270,2665515,3038936,821849,4427578130,9914999917,11306640556,3035937491,3704.249357885666,3720.5918637312534,3719.731427885418,3694.033199529354,-1843666.0
38,2022-07-11,70,2,74,2,1619764,1000913,2071710,548967,6012455482,3717714408,7689781455,2040388435,3711.933023576274,3711.8039952503004,3714.3232308901975,3716.7779392932543,-451946.0
39,2022-07-09,52,2,84,3,5428060,1227105,1826001,4829164,19623535688,4492126397,6703217026,17412445059,3615.20242738658,3670.9821221346538,3660.751440993232,3605.685178428399,3602059.0
40,2022-07-06,56,2,71,4,1620440,2565028,2035002,2150466,5831517553,9397768513,7428520506,7800765560,3598.7247617930934,3650.375039434851,3663.8073787108756,3627.476816652763,-414562.0
41,2022-07-05,26,1,63,3,692098,910994,1213410,389682,2569975050,3398142545,4522621415,1445496180,3713.3109039471287,3727.199722270296,3730.14810745186,3709.4250696721942,-521312.0
42,2022-07-04,45,1,85,2,2377795,1537746,3353794,561747,8833507074,5711485253,12444768152,2100224175,3714.9994318265453,3710.6537109911937,3714.1928855610745,3738.7367889815164,-975999.0
43,2022-07-03,28,2,71,2,776931,1755157,1764758,767330,2852722278,6503569810,6519740047,2836552041,3671.783308942493,3694.4102517172328,3705.4063026840336,3696.652080591141,-987827.0
44,2022-07-02,29,1,83,2,343572,3501211,2135241,1709542,1266279315,12974431226,7901614485,6339096056,3685.6301299290976,3700.572668377949,3705.6981787158784,3708.0668717118388,-1791669.0
45,2022-06-29,62,1,84,2,1407534,2302928,2117102,1593360,5235253566,8548082570,7882803314,5900532822,3719.4508736556277,3723.3932583314363,3711.83231520916,3703.201299141437,-709568.0
46,2022-06-28,119,2,109,3,3671923,500032,2235802,1936153,13503771950,1830671129,8221722785,7112720294,3677.574924637581,3677.3036185672972,3661.107947091386,3673.6354482316224,1436121.0
47,2022-06-27,40,1,77,2,846228,2271474,2917955,199747,2970052638,8004747753,10267532148,707268243,3509.75462641274,3518.742457645851,3524.032303693549,3540.8203527462238,-2071727.0
48,2022-06-26,20,2,46,0,732349,491345,1223694,0,2566042557,1739805764,4305848321,0,3503.8520664328075,3518.7296178619818,3540.904586390418,,-491345.0
49,2022-06-25,55,1,47,2,1259805,963916,1248721,975000,4506421520,3470025304,4461968949,3514477875,3577.078611372395,3573.2312894553706,3599.9249976139,3604.5926923076922,11084.0
50,2022-06-22,54,1,56,3,916667,2665548,2155461,1426754,3287170578,9658622226,7783616653,5162176151,3586.0029629080136,3611.1145843047034,3623.503394423961,3618.1262859609997,-1238794.0
51,2022-06-21,58,2,66,2,1337553,3101320,3092331,1346542,4819275670,11231330486,11161079534,4889526622,3603.0539873933967,3609.2771226624836,3621.467789844324,3631.1727536163003,-1754778.0
52,2022-06-20,55,2,60,2,1295043,2219409,2477033,1037419,4758353065,8147709528,9100864483,3805198110,3674.281908013865,3674.0990059478418,3671.116737834261,3667.9471939495998,-1181990.0
53,2022-06-19,49,2,83,1,823699,1162065,1629732,356032,3031763456,4283711999,5986989075,1328486380,3680.6690987848715,3673.603436025064,3686.2929345604593,3731.3679107495955,-806033.0
54,2022-06-18,62,1,79,1,1020585,1958727,2959312,20000,3792479360,7235364780,10954224140,73620000,3715.9857924621665,3701.611773277032,3693.911800878836,3681.0,-1938727.0
55,2022-06-15,47,1,67,4,1664015,1834550,2505157,993408,6377963009,7082284661,9663015347,3797232323,3832.87591097436,3857.2494047279274,3860.5023907770296,3822.4297801104885,-841142.0
56,2022-06-14,73,1,91,2,1763537,1891937,3355474,300000,6794363537,7306938020,12944500254,1156801303,3852.691231882291,3857.7262866587553,3862.14658310504,3856.0043433333335,-1591937.0
57,2022-06-13,169,3,119,5,6964480,7751275,9283016,5432739,27150900302,30690829820,36508975446,21332754676,3898.4820549416468,3932.8786512917786,3959.455679226966,3926.7033951014396,-2318536.0
58,2022-06-12,126,3,165,5,6973947,15895896,13842716,9027127,27236979446,62372393697,54669472233,34939900910,3905.5328992319555,3949.3313474754523,3923.8048422687216,3870.5449596532762,-6868769.0
59,2022-06-11,51,3,102,2,1049691,3493486,2791818,1751359,3987369409,13481372440,10728796529,6739945320,3798.6125526464457,3842.942673555368,3859.002852737924,3848.408761424699,-1742127.0
60,2022-06-08,39,2,71,2,496977,2392137,2700119,188995,1895673040,9219805557,10384596199,730882398,3814.407990711844,3845.9772324849387,3854.2130141375683,3867.204941929681,-2203142.0
61,2022-06-07,66,2,80,3,3290057,6221692,8457080,1054669,12662933557,24061007528,32651605909,4072335176,3848.8492925806454,3860.8604753650197,3867.2771856916092,3861.244784856671,-5167023.0
62,2022-06-06,57,2,148,4,1302677,3984239,4859417,427499,5033084705,15358315740,18745713165,1645687280,3863.647477463715,3857.60538043967,3854.7676833643764,3849.5698937307457,-3556740.0
63,2022-06-01,161,4,184,5,6003646,3619973,6621536,3002083,23521427307,14164912893,25982138799,11704201401,3917.8571333153222,3923.8839446013735,3912.9885479808827,3898.6934741644386,-617890.0
64,2022-05-31,81,2,116,7,6742610,2128675,3852633,5018652,25571173028,7889301609,14459486060,19000988577,3792.4739867796,3753.143904441456,3706.2029708621562,3786.0741444116866,2889977.0
65,2022-05-30,72,3,96,4,2378923,2582938,3379861,1582000,8663132541,9450240596,12357821973,5755551164,3641.619565240237,3656.3107101150017,3658.7175518730996,3638.148649810367,-1000938.0
66,2022-05-29,62,2,124,3,1821212,794378,1977203,638387,6768397259,2912580984,7309701493,2371276750,3716.424699046569,3696.9908972422154,3666.492506086523,3714.4815762225735,-155991.0
67,2022-05-28,102,2,116,4,2751889,1473211,2871962,1353138,10307614550,5526803982,10806592669,5027825863,3745.650551312208,3762.7909662453753,3751.535918480109,3715.67856567475,-120073.0
68,2022-05-25,103,2,101,4,2589301,1311227,2051402,1849126,9920972125,5023502444,7865413375,7079061194,3831.5252359613655,3834.164817524795,3831.1462805448637,3828.3281907236174,537899.0
69,2022-05-24,79,1,98,4,2233433,5391895,2562283,5063045,8264793799,20141631598,9480496842,18925928555,3700.48879863421,3700.019413156158,3735.538544055476,3738.0526056947942,-328850.0
