,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,372,2,204,0,27869796,2750000,30619796,0,53597418934,5294382171,58891801105,0,1923.1363923151787,1923.3244109464347,1925.2298803636363,,-2750000.0
1,2022-09-07,270,2,184,0,18593442,3250000,21843442,0,37565440910,6517688840,44083129750,0,2020.359700479341,2018.140261502743,2005.44272,,-3250000.0
2,2022-09-06,242,1,193,1,14399139,410000,14799139,10000,29653082301,838800000,30470922301,20960000,2059.364959321526,2058.9658831503643,2045.8536585365853,2096.0,-400000.0
3,2022-09-05,197,3,153,2,9460391,276269,9567660,169000,19603888663,573928760,19821776423,356041000,2072.2070222044736,2071.747577046007,2077.4272900687374,2106.751479289941,-107269.0
4,2022-09-04,219,1,193,2,13888116,160000,13725116,323000,28973504961,329600000,28629634961,673470000,2086.2084505198545,2085.9302727204636,2060.0,2085.046439628483,163000.0
5,2022-09-03,243,3,211,2,10319754,640000,10739754,220000,21291195145,1305363362,22135036907,461521600,2063.1494844741455,2061.037609148217,2039.630253125,2097.8254545454547,-420000.0
6,2022-08-31,226,1,324,3,17396890,184659,15906890,1674659,36393467637,371164590,33215180928,3549451299,2091.952506281295,2088.1002463712266,2010.0,2119.506896030774,1490000.0
7,2022-08-30,426,4,259,0,25723488,3510000,29233488,0,53213360153,7259000440,60472360593,0,2068.6681430216618,2068.5988819739882,2068.0912934472935,,-3510000.0
8,2022-08-29,327,1,300,0,22776526,160000,22936526,0,49232079836,344000000,49576079836,0,2161.5271721420554,2161.4467612052495,2150.0,,-160000.0
9,2022-08-28,278,1,311,2,16026205,160000,15826205,360000,35481475056,352000000,35028675056,804800000,2213.9661295983674,2213.3338381500807,2200.0,2235.5555555555557,200000.0
10,2022-08-27,368,0,383,2,27385691,0,27035691,350000,60537872725,0,59753442725,784430000,2210.5658288848726,2210.16887361969,,2241.2285714285713,350000.0
11,2022-08-24,241,1,481,2,31843558,200000,30540190,1503368,69509807675,444000000,66633930715,3319876960,2182.8530491159313,2181.8440132494266,2220.0,2208.292952889778,1303368.0
12,2022-08-23,293,0,323,1,26258470,0,25856252,402218,55531251933,0,54687283233,843968700,2114.793890618913,2115.050674513847,,2098.2867499714084,402218.0
13,2022-08-22,329,1,310,2,28412691,200000,26040289,2572402,59723259910,412300000,54661117753,5474442157,2101.992377631531,2099.097969035597,2061.5,2128.1441069475145,2372402.0
14,2022-08-21,509,2,475,2,41915042,1191251,40126293,2980000,88564017068,2466681367,84696369038,6334329397,2112.9411505301605,2110.744918250983,2070.664676881698,2125.6138916107384,1788749.0
15,2022-08-20,522,0,678,5,77135991,0,72729182,4406809,161294106194,0,152027548676,9266557518,2091.0356385257305,2090.323918066341,,2102.7817447953835,4406809.0
16,2022-08-17,225,0,454,1,43412004,0,41412004,2000000,86980549569,0,82967429569,4013120000,2003.6059512249192,2003.4632849209615,,2006.56,2000000.0
17,2022-08-16,325,2,269,1,26522904,290000,26492904,320000,50867413576,543000000,50783213576,627200000,1917.8674241704452,1916.8609668460656,1872.4137931034484,1960.0,30000.0
18,2022-08-15,213,0,313,2,27261919,0,24807052,2454867,51266487955,0,46608101187,4658386768,1880.5164799660654,1878.8246659457964,,1897.6126885896465,2454867.0
19,2022-08-14,277,1,212,1,19823259,640000,20303259,160000,35979305890,1148800000,36836905890,291200000,1815.0045807301412,1814.3346292336614,1795.0,1820.0,-480000.0
20,2022-08-13,46,0,134,1,6736352,0,5736352,1000000,12237352309,0,10419192309,1818160000,1816.6141420460212,1816.3446575454227,,1818.16,1000000.0
21,2022-08-10,178,1,132,0,8583417,160000,8743417,0,14906248584,273920000,15180168584,0,1736.6333925055721,1736.1826141884803,1712.0,,-160000.0
22,2022-08-09,248,0,213,2,14125925,0,14121986,3939,25443005371,0,25435948379,7056992,1801.156764672048,1801.1594388353026,,1791.5694338664637,3939.0
23,2022-08-06,77,0,144,1,10106922,0,9626922,480000,18220023767,0,17353783767,866240000,1802.7272563298698,1802.6305569942292,,1804.6666666666667,480000.0
24,2022-08-03,156,0,195,3,10754774,0,7716885,3037889,18513102379,0,13276185799,5236916580,1721.3846036188208,1720.4073663142576,,1723.8669944820235,3037889.0
25,2022-08-02,84,0,161,1,6599599,0,6199599,400000,10897546975,0,10225546975,672000000,1651.2438066312816,1649.3884483496433,,1680.0,400000.0
26,2022-08-01,91,1,94,0,2782426,440000,3222426,0,4517997416,711200000,5229197416,0,1623.7619314943147,1622.7517454240997,1616.3636363636363,,-440000.0
27,2022-07-31,182,2,141,1,9747420,2794611,12292031,250000,15724860750,4487606822,19811967572,400500000,1613.2331170709788,1611.7733165495597,1605.8073277461515,1602.0,-2544611.0
28,2022-07-30,127,1,150,1,5991027,640000,6540855,90172,10069135532,1064000000,10975334532,157801000,1680.7027462904107,1677.9663410976088,1662.5,1750.0,-549828.0
29,2022-07-27,173,2,253,1,16365867,501742,16547609,320000,27967585029,856235068,28270220097,553600000,1708.897245040547,1708.4172158648419,1706.524604278693,1730.0,-181742.0
30,2022-07-26,195,1,140,0,11196964,580000,11776964,0,18582276938,947949809,19530226747,0,1659.58173465593,1658.341381276193,1634.396222413793,,-580000.0
31,2022-07-25,180,2,143,0,9302234,2177637,11479871,0,15905604316,3713332331,19618936647,0,1709.8692976332352,1708.9858106419488,1705.2118103246776,,-2177637.0
32,2022-07-24,142,1,139,0,8677563,1120000,9797563,0,15545360505,2002400000,17547760505,0,1791.4431165754718,1791.0331890695677,1787.857142857143,,-1120000.0
33,2022-07-23,146,0,160,1,8676733,0,8516733,160000,15926252446,0,15628972446,297280000,1835.5125651555718,1835.0901039166074,,1858.0,160000.0
34,2022-07-20,123,2,143,0,7278151,465682,7743833,0,13266454310,847600780,14114055090,0,1822.7781080661832,1822.6187328678188,1820.1278554893684,,-465682.0
35,2022-07-19,179,1,154,0,8794525,982568,9777093,0,15785730508,1758574895,17544305403,0,1794.9497565815095,1794.4296329184963,1789.7742395437263,,-982568.0
36,2022-07-17,190,1,181,1,14116671,960000,15047996,28675,25406032021,1710400000,27062809771,53622250,1799.7183628491448,1798.4328126482756,1781.6666666666667,1870.0,-931325.0
37,2022-07-16,160,0,182,0,8586197,0,8586197,0,15573557044,0,15573557044,0,1813.789858769837,1813.789858769837,,,0.0
38,2022-07-13,153,1,177,2,9918296,320000,9847638,390658,18385099502,584000000,18246878552,722220950,1853.6550534486973,1852.9193043042403,1825.0,1848.7294513359511,70658.0
39,2022-07-12,226,1,211,1,16393357,139214,16372571,160000,29872062018,250585200,29826647218,296000000,1822.2053004762845,1821.7448693916185,1800.0,1850.0,20786.0
40,2022-07-11,299,2,191,1,18300455,1117230,15558760,3858925,33489242127,2038100430,28513146783,7014195774,1829.9677317859037,1832.6104897176897,1824.24427378427,1817.6553765621254,2741695.0
41,2022-07-09,100,1,186,1,6641459,160000,6641459,160000,12678767308,303520000,12673487308,308800000,1909.0334379840333,1908.2384319469563,1897.0,1930.0,0.0
42,2022-07-06,5,0,4,0,0,0,0,0,0,0,0,0,,,,,0.0
43,2022-07-03,266,2,301,1,18581743,218573,18600316,200000,35925886512,418437273,35952323785,392000000,1933.397018352907,1932.8877952933703,1914.4051323814012,1960.0,-18573.0
44,2022-07-02,295,3,183,0,12515048,1536801,14051849,0,24600414537,3006234644,27606649181,0,1965.6668146218856,1964.627514927039,1956.163904109901,,-1536801.0
45,2022-06-29,542,1,247,0,33716536,1000000,34716536,0,69330052344,2053000000,71383052344,0,2056.2626108447203,2056.168632262159,2053.0,,-1000000.0
46,2022-06-28,260,2,283,4,18663467,320000,17536073,1447394,40341152838,680998448,37839628830,3182522456,2161.503692641887,2157.8165664570397,2128.12015,2198.7948381712235,1127394.0
47,2022-06-27,4,0,8,0,0,0,0,0,0,0,0,0,,,,,0.0
48,2022-06-25,297,0,452,3,44069472,0,38885904,5183568,94758981394,0,83635269198,11123712196,2150.2182144138237,2150.7862900139853,,2145.956645306862,5183568.0
49,2022-06-22,236,1,292,1,14750856,100000,14550856,300000,30329069250,202000000,29911069250,620000000,2056.0887618996485,2055.622655464393,2020.0,2066.6666666666665,200000.0
50,2022-06-21,235,1,292,1,19030511,200000,19130511,100000,38895249042,406000000,39096249042,205000000,2043.8362922572073,2043.6594214341687,2030.0,2050.0,-100000.0
51,2022-06-20,303,1,488,6,36801388,950000,34642800,3108588,77017136538,1995209676,72532502930,6479843284,2092.778037013169,2093.7251876291753,2100.2207115789474,2084.4972971651437,2158588.0
52,2022-06-19,228,1,333,2,25121699,340546,25355404,106841,50342192807,687755413,50816293584,213654636,2003.9326483053555,2004.1602801517183,2019.5668514679369,1999.7438810943365,-233705.0
53,2022-06-18,295,1,312,1,20694884,1900000,22504884,90000,40469219465,3663396000,43949915465,182700000,1955.5180625801042,1952.905665499098,1928.1031578947368,2030.0,-1810000.0
54,2022-06-15,410,1,392,2,28590965,500000,27954544,1136421,57773844371,998000000,56471537998,2300306373,2020.7028468958638,2020.1201635769842,1996.0,2024.167428268221,636421.0
55,2022-06-14,228,3,374,2,28120731,1100000,26620731,2600000,55603968002,2185000000,52603468002,5185500000,1977.330105750096,1976.033941442104,1986.3636363636363,1994.423076923077,1500000.0
56,2022-06-13,226,1,289,2,22842174,93973,21436147,1500000,43392841974,175729510,40709111484,2859460000,1899.680913646836,1899.0871579673344,1870.0,1906.3066666666666,1406027.0
57,2022-06-12,191,1,219,1,11425517,700000,12121026,4491,20779016164,1274868000,22045746472,8137692,1818.6499712879513,1818.8020116448888,1821.24,1812.0,-695509.0
58,2022-06-11,198,1,198,0,8875854,600000,9475854,0,15953750946,1074000000,17027750946,0,1797.4327817920393,1796.9621467363258,1790.0,,-600000.0
59,2022-06-08,200,1,215,1,7465821,1049761,8388614,126968,13577726559,1899804293,15244082898,233447954,1818.6514998149567,1817.2349923360402,1809.7493553294512,1838.6361445403566,-922793.0
60,2022-06-07,252,1,190,1,12380961,500000,12780961,100000,22397812945,895612426,23108425371,185000000,1809.0528631016607,1808.0350429830746,1791.224852,1850.0,-400000.0
61,2022-06-06,347,3,253,2,18567519,2087000,20557051,97468,33945463829,3788263000,37557277414,176449415,1828.217535633059,1826.9778780039996,1815.1715380929563,1810.331749907662,-1989532.0
62,2022-06-01,332,2,255,2,18155678,645543,18600221,201000,34578161070,1209985184,35403202154,384944100,1904.5370307845292,1903.3753498950362,1874.368065334145,1915.1447761194029,-444543.0
63,2022-05-31,234,1,190,3,11425762,200000,11342324,283438,21702411622,375878760,21537003857,541286525,1899.4279437992845,1898.8175489432324,1879.3938,1909.7175572788406,83438.0
64,2022-05-30,313,1,204,1,11332901,400000,11732900,1,21284440533,747000000,22031438634,1899,1878.1105149511145,1877.7487777105405,1867.5,1899.0,-399999.0
65,2022-05-29,447,2,396,0,30108200,1903000,32011200,0,56598603134,3539580000,60138183134,0,1879.8401476674128,1878.6606916954065,1860.0,,-1903000.0
66,2022-05-28,351,2,125,1,11871070,1905000,11376070,2400000,23260545031,3706110000,22305855031,4660800000,1959.4312080545394,1960.7698467924336,1945.4645669291338,1942.0,495000.0
67,2022-05-25,328,2,252,1,14880516,134912,14315428,700000,30409902684,275140360,29247184719,1437858325,2043.605388684102,2043.053460853563,2039.4061314041746,2054.0833214285713,565088.0
68,2022-05-24,300,2,254,4,19515261,438118,16922574,3030805,39883742123,887531540,34588044202,6183229461,2043.720661640139,2043.899716556122,2025.7819582852107,2040.1277749640772,2592687.0
69,2022-05-23,487,5,309,1,26223691,2296907,28330598,190000,52837273731,4603474235,57042317966,398430000,2014.8679196608898,2013.4526622417218,2004.2057580041335,2097.0,-2106907.0
70,2022-05-22,502,2,331,1,30322760,1800000,32117760,5000,63579313533,3795873807,67364602340,10585000,2096.7521931710703,2097.425298028256,2108.818781666667,2117.0,-1795000.0
71,2022-05-21,301,3,267,0,13623099,618718,14241817,0,29363230379,1324889749,30688120128,0,2155.4002051221973,2154.7896682003425,2141.346702374911,,-618718.0
72,2022-05-18,387,3,355,3,25061039,495728,24156705,1400062,55149212091,1086771389,53133933696,3102049784,2200.5955974530825,2199.5522028356104,2192.273563325049,2215.6517239950804,904334.0
73,2022-05-17,638,2,452,1,32078338,1405000,33383338,100000,71575830262,3098752500,74446582762,228000000,2231.28237697352,2230.0520925139363,2205.517793594306,2280.0,-1305000.0
74,2022-05-16,833,1,635,5,55397745,500000,50898421,4999324,128394910081,1151316270,118103011925,11443214426,2317.6919941596902,2320.3669112839475,2302.63254,2288.952351557931,4499324.0
75,2022-05-15,604,5,897,6,70365179,3765129,70618334,3511974,162621944345,8770748753,163177099130,8215593968,2311.1139153785143,2310.690296517049,2329.468327114423,2339.309450468597,-253155.0
76,2022-05-14,1182,2,859,1,88050068,2119328,90069396,100000,198673120605,4723618748,203158457857,238281496,2256.3653284742495,2255.5769981737194,2228.8285475395974,2382.81496,-2019328.0
77,2022-05-11,1172,3,1048,3,85599119,906155,83508716,2996558,199969545186,2106724303,195031227690,7045041799,2336.116861039189,2335.4595428098787,2324.9050140428512,2351.044698283831,2090403.0
78,2022-05-10,1455,3,1415,4,133230927,1210000,126542636,7898291,315012027113,2869600000,299313965330,18567661783,2364.4061796027286,2365.3210869576005,2371.5702479338843,2350.8454908789763,6688291.0
79,2022-05-09,429,0,594,4,61483786,0,53095497,8388289,141024939609,0,121757039776,19267899833,2293.693163413847,2293.1707330284526,,2297.0,8388289.0
80,2022-05-08,269,1,411,2,39804160,2000000,39004160,2800000,87061576331,4386000000,85307476331,6140100000,2187.248175341472,2187.137893265744,2193.0,2192.8928571428573,800000.0
81,2022-05-07,191,0,343,4,33094214,0,30015735,3078479,69133878102,0,62696802152,6437075950,2089.0019657816924,2088.7978306045147,,2090.992321207973,3078479.0
82,2022-05-02,464,1,594,2,43512876,60000,42627637,945239,86727236247,121920000,84940030599,1909125648,1993.1395995750775,1992.6047178969832,2032.0,2019.727971444259,885239.0
83,2022-05-01,856,2,518,2,54329895,250000,47221667,7358228,105172868401,481500000,91592279942,14062088459,1935.8194673669072,1939.624027715921,1926.0,1911.0699558371934,7108228.0
84,2022-04-30,448,2,305,0,25347548,145000,25492548,0,50549531136,287800000,50837331136,0,1994.2572408187175,1994.2036055399406,1984.8275862068965,,-145000.0
85,2022-04-27,594,2,367,1,31827367,4835000,32027367,4635000,65488826831,9811415000,65895826831,9404415000,2057.626282155228,2057.484988728546,2029.248190279214,2029.0,-200000.0
86,2022-04-26,556,3,376,3,32351101,2155000,31678301,2827800,68189782248,4515738320,66753841994,5951678574,2107.8040666374845,2107.241862308209,2095.4702180974477,2104.702798642054,672800.0
87,2022-04-25,344,3,297,4,17820473,4663300,16883714,5600059,36609953553,9633137832,34653753181,11589338204,2054.3760849108776,2052.495865601609,2065.734100744108,2069.5028755947037,936759.0
88,2022-04-24,300,2,289,5,14545130,3580000,16289456,1835674,29843259289,7364483399,33455791390,3751951298,2051.7698562336673,2053.831103383686,2057.118267877095,2043.9093749761669,-1744326.0
89,2022-04-20,497,1,430,6,38478246,100000,29030555,9547691,78910648622,201000000,59581106821,19530541801,2050.7860109319954,2052.3585174654772,2010.0,2045.5774910394566,9447691.0
90,2022-04-19,383,3,333,3,20965131,4618467,25325771,257827,42207684176,9231338694,50913849850,525173020,2013.2325515161342,2010.357349041812,1998.78849280508,2036.920182913349,-4360640.0
91,2022-04-18,560,3,394,2,33276719,505662,33282381,500000,67404145282,1018317198,67396934730,1025527750,2025.5646382084724,2025.0034013492004,2013.829787486503,2051.0555,-5662.0
92,2022-04-17,818,4,579,3,65352941,5000000,63859373,6493568,131393258079,10014526000,128372647163,13035136916,2010.517905827681,2010.2397053444292,2002.9052,2007.392071046303,1493568.0
93,2022-04-16,907,1,711,4,73182983,120000,63919189,9383794,154121581340,249340000,134341781099,20029140241,2105.9756656817335,2101.7441428895477,2077.8333333333335,2134.439464570514,9263794.0
94,2022-04-13,178,4,317,5,55038320,19899168,55768488,19169000,112067673681,40534605216,113573493445,39028785452,2036.1754079884706,2036.5173508917796,2037.0,2036.0365930408473,-730168.0
95,2022-04-12,702,1,736,3,117316618,400000,114876618,2840000,227620568810,776800000,222882088810,5515280000,1940.2244344445728,1940.1867211132555,1942.0,1942.0,2440000.0
96,2022-04-11,8,0,55,1,2580291,0,680291,1900000,4938676974,0,1302076974,3636600000,1914.0,1914.0,,1914.0,1900000.0
97,2022-04-10,16,0,56,1,4702539,0,3502539,1200000,8760830157,0,6525230157,2235600000,1863.0,1863.0,,1863.0,1200000.0
98,2022-04-09,11,0,70,1,2570377,0,1070377,1500000,4719212172,0,1965212172,2754000000,1836.0,1836.0,,1836.0,1500000.0
99,2022-04-06,7,0,51,1,2455227,0,955227,1500000,4448871324,0,1730871324,2718000000,1812.0,1812.0,,1812.0,1500000.0
100,2022-04-05,6,0,50,1,1769594,0,569594,1200000,3176421230,0,1022421230,2154000000,1795.0,1795.0,,1795.0,1200000.0
101,2022-04-04,16,0,66,1,4069425,0,2569425,1500000,7145910300,0,4511910300,2634000000,1756.0,1756.0,,1756.0,1500000.0
102,2022-04-03,23,0,47,1,4701520,0,4001520,700000,8053703760,0,6854603760,1199100000,1713.0,1713.0,,1713.0,700000.0
103,2022-03-30,33,0,67,1,1410293,0,510293,900000,2398908393,0,868008393,1530900000,1701.0,1701.0,,1701.0,900000.0
104,2022-03-29,42,1,24,0,0,0,0,0,0,0,0,0,,,,,0.0
105,2022-03-12,174,1,124,0,7936126,1000000,8936126,0,21659595096,2716000000,24375595096,0,2729.240324057355,2727.7586614154725,2716.0,,-1000000.0
106,2022-03-09,220,0,212,2,14004018,0,10744255,3259763,40029009962,0,30701256330,9327753632,2858.394638024601,2857.457900059148,,2861.4821482420653,3259763.0
107,2022-03-08,246,0,249,2,12557720,0,12157720,400000,35479176994,0,34359000090,1120176904,2825.288109147202,2826.1055600885693,,2800.44226,400000.0
108,2022-03-07,388,1,277,1,29703951,1000000,30563951,140000,83355913870,2768000000,85734039772,389874098,2806.223113888115,2805.07058043641,2768.0,2784.8149857142857,-860000.0
109,2022-03-06,275,2,305,1,15011607,1500000,15888054,623553,43753271400,4346067080,46277233980,1822104500,2914.6294197549937,2912.7062370256294,2897.3780533333334,2922.132521213113,-876447.0
110,2022-03-05,42,2,155,1,4816645,600000,4466645,950000,13759873709,1720200000,12758123709,2721950000,2856.7340356202294,2856.3102079972778,2867.0,2865.2105263157896,350000.0
111,2022-03-02,181,0,269,1,13888030,0,13886030,2000,37934091353,0,37928673353,5418000,2731.423488644538,2731.4267182916933,,2709.0,2000.0
112,2022-02-28,70,0,222,1,18655970,0,16755970,1900000,50698584780,0,45518184780,5180400000,2717.5528680631455,2716.5353471031517,,2726.5263157894738,1900000.0
113,2022-02-27,226,3,159,0,20546291,2075353,22621644,0,53386938237,5408251961,58795190198,0,2598.3735087271957,2599.0679633186696,2605.943162922163,,-2075353.0
114,2022-02-26,225,1,255,1,11251799,200000,11195584,256215,30020455520,523000000,29868328995,675126525,2668.058282946576,2667.8669906813257,2615.0,2635.0,56215.0
115,2022-02-23,74,0,220,1,12575066,0,11625066,950000,33058755765,0,30551755765,2507000000,2628.913101927258,2628.093102009055,,2638.9473684210525,950000.0
116,2022-02-22,124,1,138,0,6620491,100000,6720491,0,16703641336,245000000,16948641336,0,2523.0215305783213,2521.934980048333,2450.0,,-100000.0
117,2022-02-21,122,0,219,2,9831336,0,8781336,1050000,24871378859,0,22207197755,2664181104,2529.8066162116725,2528.9087850641404,,2537.315337142857,1050000.0
118,2022-02-20,64,0,106,1,2492139,0,2337139,155000,6044464356,0,5672055912,372408444,2425.41220854856,2426.922794065736,,2402.635122580645,155000.0
119,2022-02-19,94,0,136,2,4128030,0,4025030,103000,10050490905,0,9796284905,254206000,2434.6942500417877,2433.8414632934414,,2468.019417475728,103000.0
120,2022-02-16,100,0,73,0,3647163,0,3647163,0,8657899330,0,8657899330,0,2373.872330356499,2373.872330356499,,,0.0
121,2022-02-14,114,0,110,2,5992761,0,5751761,241000,14455297376,0,13870680532,584616844,2412.1264599072115,2411.5537019010353,,2425.7960331950208,241000.0
122,2022-02-13,97,0,91,0,4100079,0,4100079,0,9840002653,0,9840002653,0,2399.954404049288,2399.954404049288,,,0.0
123,2022-02-12,97,0,120,1,4542655,0,4457655,85000,11233999359,0,11020661929,213337430,2473.0029815163157,2472.3003303306336,,2509.852117647059,85000.0
124,2022-02-09,119,0,236,2,7465589,0,6687564,778025,18793537775,0,16854693515,1938844260,2517.354997040421,2520.3038826992906,,2492.007660422223,778025.0
125,2022-02-07,138,1,87,0,6190741,190000,6380741,0,14960886307,460465000,15421351307,0,2416.655180211868,2416.8589991350536,2423.5,,-190000.0
126,2022-02-06,103,2,82,0,3865372,195000,4060372,0,9616363825,482430000,10098793825,0,2487.823636379629,2487.1597540816456,2474.0,,-195000.0
127,2022-02-05,146,1,205,1,7534740,300000,7674740,160000,19627816406,771000000,19984349864,414466542,2604.9759389176,2603.9122972244013,2570.0,2590.4158875,-140000.0
128,2022-02-02,107,0,155,0,4864836,0,4864836,0,12410402234,0,12410402234,0,2551.042262061866,2551.042262061866,,,0.0
129,2022-02-01,212,1,254,2,18101975,14000,15972329,2143646,46650069246,35000000,41167611838,5517457408,2577.0706923415814,2577.4332495905887,2500.0,2573.865931221853,2129646.0
130,2022-01-31,102,1,157,1,7380419,1000000,7380419,1000000,18394382527,2529000000,18394382527,2529000000,2492.3222552811703,2492.3222552811703,2529.0,2529.0,0.0
131,2022-01-30,132,0,177,1,12085939,0,12040939,45000,29114989603,0,29005478403,109511200,2408.9969015233323,2408.9050200320758,,2433.5822222222223,45000.0
132,2022-01-29,116,0,156,1,7284083,0,5284083,2000000,17302746537,0,12683966273,4618780264,2375.4186404795223,2400.410113353632,,2309.390132,2000000.0
133,2022-01-26,144,0,198,3,9498057,0,9170152,327905,21862852328,0,21118133067,744719261,2301.8236601443855,2302.920722251932,,2271.1433524953873,327905.0
134,2022-01-25,182,0,212,0,14935327,0,14935327,0,33178561159,0,33178561159,0,2221.482071266334,2221.482071266334,,,0.0
135,2022-01-24,192,0,126,0,9998946,0,9998946,0,22094661530,0,22094661530,0,2209.6990552804264,2209.6990552804264,,,0.0
136,2022-01-23,128,0,132,0,7301358,0,7301358,0,16554895731,0,16554895731,0,2267.372142415151,2267.372142415151,,,0.0
137,2022-01-22,219,0,129,2,16695976,0,15353893,1342083,39172910546,0,35966856950,3206053596,2346.24861379772,2342.5236159975843,,2388.8638750360446,1342083.0
138,2022-01-19,98,0,97,0,3512594,0,3512594,0,8567342884,0,8567342884,0,2439.035904519566,2439.035904519566,,,0.0
139,2022-01-18,125,0,145,0,8327176,0,8327176,0,20289661967,0,20289661967,0,2436.5597613164414,2436.5597613164414,,,0.0
140,2022-01-17,98,0,126,0,5548062,0,5548062,0,14117523054,0,14117523054,0,2544.586389625783,2544.586389625783,,,0.0
141,2022-01-16,161,0,133,3,6124620,0,6122606,2014,15710075688,0,15704887632,5188056,2565.069455411111,2565.0658611708805,,2575.9960278053622,2014.0
142,2022-01-15,123,1,131,0,3974679,95000,4069679,0,10444349022,246905000,10691254022,0,2627.721388821588,2627.050934975461,2599.0,,-95000.0
143,2022-01-12,126,0,181,2,7600532,0,7599781,751,20786627705,0,20784569977,2057728,2734.891150382631,2734.890647112068,,2739.984021304927,751.0
144,2022-01-11,164,0,168,0,7799440,0,7799440,0,21142326390,0,21142326390,0,2710.7492832818766,2710.7492832818766,,,0.0
145,2022-01-10,159,1,343,1,13452962,1090000,14352962,190000,35822520812,2962197728,38268298540,516420000,2662.7980374879526,2666.2300464531295,2717.612594495413,2718.0,-900000.0
146,2022-01-09,122,1,163,0,6528876,95000,6623876,0,16912961690,239495000,17152456690,0,2590.4859718579432,2589.489400163892,2521.0,,-95000.0
147,2022-01-08,143,0,231,2,11344600,0,11154263,190337,29636913136,0,29137304797,499608339,2612.424689808367,2612.2124605632844,,2624.861897581658,190337.0
148,2022-01-05,73,0,114,1,4710186,0,4707186,3000,11787877140,0,11780371140,7506000,2502.6351698213193,2502.635574629938,,2502.0,3000.0
149,2022-01-04,97,1,124,0,5029783,95000,5124783,0,12475550078,232845000,12708395078,0,2480.33564827747,2479.79184250338,2451.0,,-95000.0
150,2022-01-03,112,0,129,0,4362630,0,4362630,0,11062051802,0,11062051802,0,2535.6383195457784,2535.6383195457784,,,0.0
151,2022-01-02,133,0,162,0,6558512,0,6558512,0,16718560796,0,16718560796,0,2549.1393163571247,2549.1393163571247,,,0.0
152,2022-01-01,280,0,172,0,18911837,0,18911837,0,47681324004,0,47681324004,0,2521.242331138958,2521.242331138958,,,0.0
153,2021-12-29,177,0,177,1,7990455,0,7197455,793000,21124700520,0,19060152416,2064548104,2643.741879530014,2648.1794489857875,,2603.4654527112234,793000.0
154,2021-12-28,181,0,205,0,9172161,0,9172161,0,24231973996,0,24231973996,0,2641.904562730637,2641.904562730637,,,0.0
155,2021-12-27,171,1,279,1,12239849,800000,12539849,500000,32165735418,2107007006,32955742424,1317000000,2627.951980289953,2628.0812810425386,2633.7587575,2634.0,-300000.0
156,2021-12-26,263,0,202,0,12219827,0,12219827,0,30657833971,0,30657833971,0,2508.8599021082705,2508.8599021082705,,,0.0
157,2021-12-25,328,1,208,0,13093078,190000,13283078,0,33890304285,479750000,34370054285,0,2588.413838594714,2587.506772526669,2525.0,,-190000.0
158,2021-12-22,111,1,142,0,5445514,158083,5603597,0,14503447565,421596882,14925044447,0,2663.37531498404,2663.4757008757056,2666.9337120373475,,-158083.0
159,2021-12-21,77,0,179,0,8311695,0,8311695,0,21112779087,0,21112779087,0,2540.12918989448,2540.12918989448,,,0.0
160,2021-12-20,129,0,168,0,6347863,0,6347863,0,15449264279,0,15449264279,0,2433.7740557727852,2433.7740557727852,,,0.0
161,2021-12-19,228,0,224,0,9438608,0,9438608,0,22836153976,0,22836153976,0,2419.4408726371516,2419.4408726371516,,,0.0
162,2021-12-18,32,0,142,0,5524932,0,5524932,0,13324471702,0,13324471702,0,2411.6987687812266,2411.6987687812266,,,0.0
163,2021-12-15,241,0,198,1,17822278,0,17522278,300000,40992932099,0,40293932099,699000000,2300.0949765793125,2299.582970832902,,2330.0,300000.0
164,2021-12-14,317,0,127,1,24111139,0,23311139,800000,57442960777,0,55538160777,1904800000,2382.424188960961,2382.4730647867527,,2381.0,800000.0
165,2021-12-13,182,0,131,0,8158598,0,8158598,0,20442878465,0,20442878465,0,2505.685224961446,2505.685224961446,,,0.0
166,2021-12-12,157,1,135,0,5664863,1900000,7564863,0,14820039595,4966600000,19786639595,0,2616.1338050011095,2615.597875995904,2614.0,,-1900000.0
167,2021-12-11,350,1,237,0,16486678,1775000,18261678,0,45481523950,4752175000,50233698950,0,2758.6833411800726,2750.771257164867,2677.281690140845,,-1775000.0
168,2021-12-08,348,0,343,3,23534985,0,18898985,4636000,66197740672,0,53225415961,12972324711,2812.737746465528,2816.310820977952,,2798.171853106126,4636000.0
169,2021-12-07,219,1,155,0,10527271,1900000,12427271,0,28572934498,5145890000,33718824498,0,2714.182478820959,2713.2927654027985,2708.363157894737,,-1900000.0
170,2021-12-06,259,1,267,0,8393080,1899611,10292691,0,23796826558,5533927545,29330754103,0,2835.2912825804115,2849.6681871631044,2913.189882033743,,-1899611.0
171,2021-12-05,443,1,334,0,18254248,475000,18729248,0,51394428788,1329050000,52723478788,0,2815.477733621237,2815.0344737813284,2798.0,,-475000.0
172,2021-12-04,170,1,67,1,4368744,1900000,5768744,500000,12882691035,5513800000,16922798437,1473692598,2948.8317546187186,2933.532574335072,2902.0,2947.385196,-1400000.0
