,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,417,2,543,3,13336444,324820,13153826,507438,72544365380,1734541860,71526702600,2752204640,5439.558354535887,5437.710868305541,5340.0094206021795,5423.725933020389,182618.0
1,2022-09-07,186,2,402,1,8909848,402126,8922274,389700,46109099760,2009336510,46144210270,1974226000,5175.071422093845,5171.7992823354225,4996.78337138111,5066.014883243521,-12426.0
2,2022-09-06,64,1,92,1,1068943,117451,1185394,1000,5299026440,578492810,5872509250,5010000,4957.258188696685,4954.056836798566,4925.397059199156,5010.0,-116451.0
3,2022-09-05,107,1,143,2,2041085,45850,2033185,53750,10205253560,227565590,10162897960,269921190,4999.9160054578815,4998.5111831928725,4963.2625954198475,5021.789581395349,7900.0
4,2022-09-04,118,2,141,1,2111305,118472,2064742,165035,10262983130,577202720,10029128460,811057390,4860.966620170937,4857.3276758064685,4872.060233641704,4914.456872784561,46563.0
5,2022-09-03,138,1,109,0,2019993,54559,2074552,0,9635283700,257518480,9892802180,0,4769.95895530331,4768.645076141741,4720.0,,-54559.0
6,2022-08-31,103,1,155,1,2058706,63046,2056752,65000,10302544596,313969080,10287613676,328900000,5004.378768022243,5001.873670719659,4980.0,5060.0,1954.0
7,2022-08-30,186,1,206,0,3169545,111446,3280991,0,16115418502,563301600,16678720102,0,5084.458022208235,5083.439760121256,5054.480196687185,,-111446.0
8,2022-08-29,554,2,321,1,10797715,153792,10614507,337000,54401325608,765443480,53509459088,1657310000,5038.225736463687,5041.162918635788,4977.134571369122,4917.833827893175,183208.0
9,2022-08-28,145,1,179,2,4829729,260000,4956333,133396,23479968107,1237600000,24067685827,649882280,4861.5498109728305,4855.946084938199,4760.0,4871.827341149659,-126604.0
10,2022-08-27,223,1,174,1,4322993,183860,4263931,242922,20800616265,872501040,20506678725,1166438580,4811.623859904469,4809.336437432969,4745.46415751115,4801.700051868501,59062.0
11,2022-08-24,151,1,158,1,3695928,18203,3708802,5329,17990148247,88284550,18051894377,26538420,4867.559175124624,4867.311432910142,4850.0,4980.0,-12874.0
12,2022-08-23,165,0,193,1,5607118,0,5188901,418217,26817086926,0,24813819939,2003266987,4782.686386482324,4782.095464723648,,4790.018069566756,418217.0
13,2022-08-22,80,1,110,1,1339902,62099,1393418,8583,6081343082,282956596,6324637588,39662090,4538.647663784366,4538.93776885328,4556.540298555532,4621.005475940813,-53516.0
14,2022-08-21,61,2,74,1,928940,245507,1108246,66201,4156773487,1079897232,4939737752,296932967,4474.749162486275,4457.257460888647,4398.641309616426,4485.324496608812,-179306.0
15,2022-08-20,75,1,136,1,1827653,16665,1826930,17388,8193472892,75142485,8190727345,77888032,4483.057173325571,4483.328504649877,4509.0,4479.412928456407,723.0
16,2022-08-17,79,2,95,1,2072236,146725,2024325,194636,9146020144,623419700,8913824164,855615680,4413.599678801063,4403.356261469873,4248.898960640654,4395.97854456524,47911.0
17,2022-08-16,72,2,78,0,965543,116591,1082134,0,4242075443,499851069,4741926512,0,4393.460926131721,4382.014160907984,4287.21830158417,,-116591.0
18,2022-08-15,91,1,110,1,1839388,24379,1788567,75200,8118541147,105926755,7893174702,331293200,4413.718664577566,4413.127773239694,4345.0,4405.494680851064,50821.0
19,2022-08-14,48,1,65,0,821315,46467,867782,0,3525244621,200122479,3725367100,0,4292.195589998965,4292.975770412385,4306.765640131706,,-46467.0
